Product Name,Category,Product Image File - 1,Product Image File - 2,Product Description,Cost Price
Freedom Thin Metal Hook Bracelet,JEWELRY;BRACELET/METAL,images/20170725/MSB4256-GD-FREEDOM-3mm-60X45mmD-353537-300-01-.jpg,images/20170725/des_img/MSB4256-GD-FREEDOM-3mm-60X45mmD-353537-300-01-1.jpg,"Style No : 353537 Color : Gold Theme : Message  Size : 3mm ID : 60 mm X 45 mm (2.5"" D) Freedom Thin Metal Hook Bracelet",3.50
I Am A Survivor Thin Metal Hook Bracelet,JEWELRY;BRACELET/METAL,images/20170725/MSB4127-RH-SURVIVOR-3mm-60X45mmD-353536-300-01-.jpg,images/20170725/des_img/MSB4127-RH-SURVIVOR-3mm-60X45mmD-353536-300-01-1.jpg,"Style No : 353536 Color : Rhodium Theme : Message  Size : 3mm ID : 60 mm X 45 mm (2.5"" D) I am a Survivor thin Metal Hook Bracelet",3.50
I Am A Survivor Thin Metal Hook Bracelet,JEWELRY;BRACELET/METAL,images/20170725/MSB4127-RG-SURVIVOR-3mm-60X45mmD-353535-300-01-.jpg,images/20170725/des_img/MSB4127-RG-SURVIVOR-3mm-60X45mmD-353535-300-01-1.jpg,"Style No : 353535 Color : Rose Gold  Theme : Message  Size : 3mm ID : 60 mm X 45 mm (2.5"" D) I am a Survivor thin Metal Hook Bracelet",3.50
I Am A Survivor Thin Metal Hook Bracelet,JEWELRY;BRACELET/METAL,images/20170725/MSB4127-GD-SURVIVOR-3mm-60X45mmD-353534-300-01-.jpg,images/20170725/des_img/MSB4127-GD-SURVIVOR-3mm-60X45mmD-353534-300-01-1.jpg,"Style No : 353534 Color : Gold Theme : Message  Size : 3mm ID : 60 mm X 45 mm (2.5"" D) I am a Survivor thin Metal Hook Bracelet",3.50
Resin Bead Stretch Bracelet,JEWELRY;BRACELET/FASHION,images/20120716/SB02-GD-RD-TL-STR-15H-174011-375-015.jpg,,"Style No : 174011 Color : Teal, Red, Gold  Size : 1.5"" H Resin Bead Stretch Bracelet",3.75
Floral Crystal Rhinestone Trim Glass Stone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170721/EVB7074-GD-CL-STR-1H-353230-575-03.jpg,,"Style No : 353230 Color : Clear, Gold  Size : 1"" H Stretchable Floral Crystal Rhinestone Trim Glass Stone Marquise Stretch Bracelet",5.75
Floral Crystal Rhinestone Trim Glass Stone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170721/EVB7074-GD-AB-STR-1H-353233-575-03.jpg,,"Style No : 353233 Color : AB, Gold  Size : 1"" H Stretchable Floral Crystal Rhinestone Trim Glass Stone Marquise Stretch Bracelet",5.75
Floral Crystal Rhinestone Trim Glass Stone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170721/EVB7074-BK-BDIA-STR-1H-353234-575-03.jpg,,"Style No : 353234 Color : Black Diamond, Black  Size : 1"" H Stretchable Floral Crystal Rhinestone Trim Glass Stone Marquise Stretch Bracelet",5.75
Floral Crystal Rhinestone Trim Glass Stone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170721/EVB7074-BK-HM-STR-1H-353236-575-03.jpg,,"Style No : 353236 Color : Black, Hematite  Size : 1"" H Stretchable Floral Crystal Rhinestone Trim Glass Stone Marquise Stretch Bracelet",5.75
John 3 : 16 Embossed Metal Stretch Bracelet,JEWELRY;BRACELET/RELIGIOUS,images/20170721/RB07498-AS-STR-025H-353223-375-01.jpg,images/20170721/des_img/RB07498-AS-STR-025H-353223-375-01-1.jpg,"Style No : 353223 Color : Antique Silver Theme : Message, Religious  Size : 0.25"" H Stretchable John 3 : 16 Embossed Metal Stretch Bracelet",3.75
Be Brave Embossed Arrow Metal Stretch Bracelet,JEWELRY;BRACELET/STRETCH,images/20170721/MSB07492-AS-BRAVE-STR-025H-353217-375-01.jpg,images/20170721/des_img/MSB07492-AS-BRAVE-STR-025H-353217-375-01-1.jpg,"Style No : 353217 Color : Antique Silver Theme : Arrow, Message  Size : 0.25"" H Stretchable Be Brave Embossed Arrow Metal Stretch Bracelet",3.75
Butterfly Metal Stretch Bracelet,JEWELRY;BRACELET/METAL,images/20130606/SB6817-AS-STR-075H-202912-425-01.jpg,,"Style No : 202912 Color : Antique Silver Theme : Butterfly  Size : 0.75"" H Stretchable Lead and Nickel Compliant Butterfly Metal Stretch Bracelet",4.25
Crystal Rhinestone Bubble Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170712/EVB7029-GD-GREEN-STR-07H-352166-525-02.jpg,,"Style No : 352166 Color : Gold, Green  Size : 0.7"" H Stretchable Crystal rhinestone bubble stretch bracelet",5.25
Crystal Rhinestone Bubble Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20160805/EVB7029-BK-HM-07H-STR-313725-525-02.jpg,,"Style No : 313725 Color : Hematite, Black  Size : 0.7"" H Stretchable Crystal rhinestone bubble stretch bracelet",5.25
Crystal Rhinestone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170724/EVB7075-GD-MON-STR-075H-353299-600-01.jpg,,"Style No : 353299 Color : Gold, Montana Blue  Size : 0.75"" H Stretchable Crystal Rhinestone Marquise Stretch Bracelet",6.00
Crystal Rhinestone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170724/EVB7075-GD-GREEN-STR-075H-353296-600-01.jpg,,"Style No : 353296 Color : Gold, Green  Size : 0.75"" H Stretchable Crystal Rhinestone Marquise Stretch Bracelet",6.00
Crystal Rhinestone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170724/EVB7075-GD-FU-STR-075H-353300-600-01.jpg,,"Style No : 353300 Color : Fuchsia, Gold  Size : 0.75"" H Stretchable Crystal Rhinestone Marquise Stretch Bracelet",6.00
Crystal Rhinestone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170724/EVB7075-GD-CL-STR-075H-353288-600-01.jpg,,"Style No : 353288 Color : Clear, Gold  Size : 0.75"" H Stretchable Crystal Rhinestone Marquise Stretch Bracelet",6.00
Crystal Rhinestone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170724/EVB7075-GD-BZIR-STR-075H-353292-600-01.jpg,,"Style No : 353292 Color : Blue Zircon, Gold  Size : 0.75"" H Stretchable Crystal Rhinestone Marquise Stretch Bracelet",6.00
Crystal Rhinestone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170724/EVB7075-GD-BL-STR-075H-353297-600-01.jpg,,"Style No : 353297 Color : Blue, Gold  Size : 0.75"" H Stretchable Crystal Rhinestone Marquise Stretch Bracelet",6.00
Crystal Rhinestone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170724/EVB7075-GD-AB-STR-075H-353290-600-01.jpg,,"Style No : 353290 Color : AB, Gold  Size : 0.75"" H Stretchable Crystal Rhinestone Marquise Stretch Bracelet",6.00
Crystal Rhinestone Marquise Stretch Bracelet,JEWELRY;BRACELET/EVENING,images/20170724/EVB7701-GD-GREEN-STR-1H-353265-675-03.jpg,,"Style No : 353265 Color : Gold, Green  Size : 1"" H Stretchable Crystal Rhinestone Marquise Stretch Bracelet",6.75
